# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computationresults\2018-02-24T02-44-25.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\testing.nb
# Note	A phase vs. final energy run at given parameters for the StaPD computational model.
# Date	2018-02-24T02:44:25
# E0	-3.0396598110480402e-6
# l0	3.4641016151377544
# Ep	4.480566836510487e-11
# Emw	7.778761868941818e-10
# fmw	2.4165294551500505e-6
# toff	8.26827466731227e8
# tring	4.134137333656135e8
# tmax	2.8938961335592947e9
dL	th_LRL	phi	enfinal
-1.	3.141592653589793	5.811946409141117	0.0008103550559364826
-1.	3.141592653589793	5.843362335677016	0.0008120389054255878
-1.	3.141592653589793	5.874778262212914	0.0008136744713352023
-1.	3.141592653589793	5.9061941887488105	0.0008152610997690218
-1.	3.141592653589793	5.937610115284708	0.0008167981864195043
-1.	3.141592653589793	5.969026041820607	0.0008182851331647256
-1.	3.141592653589793	6.000441968356505	0.0008197213789829198
-1.	3.141592653589793	6.031857894892402	0.0008211063846924347
-1.	3.141592653589793	6.0632738214283	0.0008224396330812786
-1.	3.141592653589793	6.094689747964199	0.0008237206407881258
-1.	3.141592653589793	6.126105674500097	0.0008249489448674721
-1.	3.141592653589793	6.157521601035994	0.0008261241061861714
-1.	3.141592653589793	6.188937527571892	0.0008272457101924408
-1.	3.141592653589793	6.220353454107791	0.0008283133675499216
-1.	3.141592653589793	6.2517693806436885	0.0008293267093861838
1.	0.	0.	NaN
1.	0.	0.031415926535897934	NaN
1.	0.	0.06283185307179587	NaN
1.	0.	0.09424777960769379	0.00009209696443476773
1.	0.	0.12566370614359174	0.0001428702652082138
1.	0.	0.15707963267948966	0.00010745948231157107
1.	0.	0.18849555921538758	-0.00001920113681908899
1.	0.	0.21991148575128555	0.00016715071831309843
1.	0.	0.25132741228718347	NaN
1.	0.	0.2827433388230814	NaN
1.	0.	0.3141592653589793	NaN
1.	0.	0.34557519189487723	0.0001563318986495004
1.	0.	0.37699111843077515	-2.9999855359368496e-6
1.	0.	0.4084070449666731	NaN
1.	0.	0.4398229715025711	NaN
1.	0.	0.47123889803846897	0.0001550445510923724
1.	0.	0.5026548245743669	4.086893829438583e-6
1.	0.	0.5340707511102649	NaN
1.	0.	0.5654866776461628	NaN
1.	0.	0.5969026041820606	NaN
1.	0.	0.6283185307179586	NaN
1.	0.	0.6597344572538565	NaN
1.	0.	0.6911503837897545	2.894000654726012e-7
1.	0.	0.7225663103256524	NaN
1.	0.	0.7539822368615503	NaN
1.	0.	0.7853981633974483	0.00018285822759012927
1.	0.	0.8168140899333463	0.00017878380904742913
1.	0.	0.8482300164692442	NaN
1.	0.	0.8796459430051422	0.00008357074523375193
1.	0.	0.91106186954104	1.6391013566126674e-6
1.	0.	0.9424777960769379	NaN
1.	0.	0.9738937226128359	NaN
1.	0.	1.0053096491487339	0.00023055661883168713
1.	0.	1.0367255756846319	NaN
1.	0.	1.0681415022205298	0.00005909161381877036
1.	0.	1.0995574287564276	NaN
1.	0.	1.1309733552923256	0.00011102395941897371
1.	0.	1.1623892818282235	0.00013081045286542927
1.	0.	1.1938052083641213	NaN
1.	0.	1.2252211349000193	-9.557011688218188e-6
1.	0.	1.2566370614359172	NaN
1.	0.	1.288052987971815	0.0002798398199468178
1.	0.	1.319468914507713	0.000018951030782300346
1.	0.	1.350884841043611	0.00003786764850850375
1.	0.	1.382300767579509	NaN
1.	0.	1.413716694115407	0.00022462235783910086
1.	0.	1.4451326206513049	NaN
1.	0.	1.4765485471872026	-0.00001722680316153076
1.	0.	1.5079644737231006	0.00010826221892107956
1.	0.	1.5393804002589986	NaN
1.	0.	1.5707963267948966	NaN
1.	0.	1.6022122533307945	-9.38627512236911e-6
1.	0.	1.6336281798666925	NaN
1.	0.	1.6650441064025905	0.00016328018387939456
1.	0.	1.6964600329384885	0.00013239151634259288
1.	0.	1.7278759594743864	NaN
1.	0.	1.7592918860102844	0.0000467688537383217
1.	0.	1.790707812546182	0.00003583578873308236
1.	0.	1.82212373908208	NaN
1.	0.	1.853539665617978	0.00003335896993000122
1.	0.	1.8849555921538759	NaN
1.	0.	1.9163715186897738	0.00009987520390051231
1.	0.	1.9477874452256718	NaN
1.	0.	1.9792033717615696	-0.00001955070072822862
1.	0.	2.0106192982974678	-9.653236354067858e-7
1.	0.	2.0420352248333655	0.0002032654661261153
1.	0.	2.0734511513692637	0.00015828062161865893
1.	0.	2.1048670779051615	0.00025495879760946454
1.	0.	2.1362830044410597	NaN
1.	0.	2.167698930976957	0.0002459334459083602
1.	0.	2.199114857512855	NaN
1.	0.	2.230530784048753	-0.000020548018407183225
1.	0.	2.261946710584651	NaN
1.	0.	2.293362637120549	0.00024077844331635002
1.	0.	2.324778563656447	NaN
1.	0.	2.356194490192345	NaN
1.	0.	2.3876104167282426	0.00021858645393064519
