,E0,Ep,dL,phi,th_LRL
9253,0.,115.2,1.,53.,0.
9255,0.,115.2,1.,55.,0.
9259,0.,115.2,1.,59.,0.
9262,0.,115.2,1.,62.,0.
9265,0.,115.2,1.,65.,0.
9267,0.,115.2,1.,67.,0.
9274,0.,115.2,1.,74.,0.
9283,0.,115.2,1.,83.,0.
9355,0.,115.2,1.,155.,0.
9362,0.,115.2,1.,162.,0.
9364,0.,115.2,1.,164.,0.
9366,0.,115.2,1.,166.,0.
9370,0.,115.2,1.,170.,0.
9371,0.,115.2,1.,171.,0.
9373,0.,115.2,1.,173.,0.
9378,0.,115.2,1.,178.,0.
9379,0.,115.2,1.,179.,0.
9380,0.,115.2,1.,180.,0.
9382,0.,115.2,1.,182.,0.
9388,0.,115.2,1.,188.,0.
9391,0.,115.2,1.,191.,0.
9394,0.,115.2,1.,194.,0.
9396,0.,115.2,1.,196.,0.
9600,0.,144.,-1.,0.,0.
9601,0.,144.,-1.,1.,0.
9604,0.,144.,-1.,4.,0.
9605,0.,144.,-1.,5.,0.
9611,0.,144.,-1.,11.,0.
9612,0.,144.,-1.,12.,0.
9613,0.,144.,-1.,13.,0.
9614,0.,144.,-1.,14.,0.
9615,0.,144.,-1.,15.,0.
9618,0.,144.,-1.,18.,0.
9619,0.,144.,-1.,19.,0.
9620,0.,144.,-1.,20.,0.
9623,0.,144.,-1.,23.,0.
9625,0.,144.,-1.,25.,0.
9628,0.,144.,-1.,28.,0.
9632,0.,144.,-1.,32.,0.
9633,0.,144.,-1.,33.,0.
9635,0.,144.,-1.,35.,0.
9642,0.,144.,-1.,42.,0.
9644,0.,144.,-1.,44.,0.
9650,0.,144.,-1.,50.,0.
9654,0.,144.,-1.,54.,0.
9655,0.,144.,-1.,55.,0.
9656,0.,144.,-1.,56.,0.
9658,0.,144.,-1.,58.,0.
9666,0.,144.,-1.,66.,0.
9671,0.,144.,-1.,71.,0.
9672,0.,144.,-1.,72.,0.
9673,0.,144.,-1.,73.,0.
9678,0.,144.,-1.,78.,0.
9683,0.,144.,-1.,83.,0.
9684,0.,144.,-1.,84.,0.
9724,0.,144.,-1.,124.,0.
9760,0.,144.,-1.,160.,0.
9765,0.,144.,-1.,165.,0.
9766,0.,144.,-1.,166.,0.
9767,0.,144.,-1.,167.,0.
9768,0.,144.,-1.,168.,0.
9777,0.,144.,-1.,177.,0.
9781,0.,144.,-1.,181.,0.
9783,0.,144.,-1.,183.,0.
9784,0.,144.,-1.,184.,0.
9786,0.,144.,-1.,186.,0.
9791,0.,144.,-1.,191.,0.
9795,0.,144.,-1.,195.,0.
9798,0.,144.,-1.,198.,0.
10000,0.,144.,1.,0.,0.
