,E0,Ep,Filename,a,a_sigma,dL,th_LRL,x0,x0_sigma,y0,y0_sigma
2400,0.0,4.2005314092285815e-12,results\2018-01-26T10-36-29.txt,0.05677203454212081,1.332704425642595e-34,-1.0,0.0,3.7756287148000784,4.1348992228717583e-32,0.6825,6.663522129009184e-35
2600,0.0,4.2005314092285815e-12,results\2018-01-26T10-36-29.txt,0.07022587083169783,1.6761150611310882e-35,-1.0,3.1415926535897927,3.858916721483952,3.398674372947572e-33,0.08333333333333333,8.380575450459079e-36
2800,0.0,4.2005314092285815e-12,results\2018-01-26T10-36-29.txt,0.05677203454212081,1.332704425642595e-34,1.0,0.0,3.7756287148000784,4.1348992228717583e-32,0.6825,6.663522129009184e-35
3000,0.0,4.2005314092285815e-12,results\2018-01-26T10-36-29.txt,0.07022587083169783,1.6761150611310882e-35,1.0,3.1415926535897927,3.858916721483952,3.398674372947572e-33,0.08333333333333333,8.380575450459079e-36
3200,0.0,5.6007085456381085e-12,results\2018-01-26T13-32-47.txt,0.06575831933020414,1.1794121317841515e-34,-1.0,0.0,1.0979299319850286,2.7274963394235407e-32,0.5441666666666667,5.897060565641193e-35
3400,0.0,5.6007085456381085e-12,results\2018-01-26T13-32-47.txt,0.04152928675432116,5.872192205266578e-36,-1.0,3.1415926535897927,3.758501275160469,3.4047976679863346e-33,0.0475,2.9360961051306936e-36
3600,0.0,5.6007085456381085e-12,results\2018-01-26T13-32-47.txt,0.06575831933020414,1.1794121317841515e-34,1.0,0.0,1.0979299319850286,2.7274963394235407e-32,0.5441666666666667,5.897060565641193e-35
3800,0.0,5.6007085456381085e-12,results\2018-01-26T13-32-47.txt,0.04152928675432116,5.872192205266578e-36,1.0,3.1415926535897927,3.758501275160469,3.4047976679863346e-33,0.0475,2.9360961051306936e-36
4000,0.0,7.0008856820476346e-12,results\2018-01-26T16-22-16.txt,0.10460331972097783,8.086950575564307e-35,-1.0,0.0,0.21165913462108074,7.39084001461434e-33,0.4675,4.0434752331961893e-35
4200,0.0,7.0008856820476346e-12,results\2018-01-26T16-22-16.txt,0.024380581354868192,1.8889925572154033e-36,-1.0,3.1415926535897927,4.008630191074657,3.177913971118933e-33,0.025000000000000005,9.444962917021204e-37
4400,0.0,7.0008856820476346e-12,results\2018-01-26T16-22-16.txt,0.10460331972097783,8.086950575564307e-35,1.0,0.0,0.21165913462108074,7.39084001461434e-33,0.4675,4.0434752331961893e-35
4600,0.0,7.0008856820476346e-12,results\2018-01-26T16-22-16.txt,0.024380581354868192,1.8889925572154033e-36,1.0,3.1415926535897927,4.008630191074657,3.177913971118933e-33,0.025000000000000005,9.444962917021204e-37
4800,0.0,8.401062818457161e-12,results\2018-01-26T19-08-21.txt,0.061887336485176275,6.694806125764897e-35,-1.0,0.0,0.01697910627526781,1.7479733559601694e-32,0.4941666666666666,3.3474030863271587e-35
5000,0.0,8.401062818457161e-12,results\2018-01-26T19-08-21.txt,0.02881454823075274,2.4613515246252782e-36,-1.0,3.1415926535897927,3.752795677140087,2.9644901612364554e-33,0.03,1.2306757507870327e-36
5200,0.0,8.401062818457161e-12,results\2018-01-26T19-08-21.txt,0.061887336485176275,6.694806125764897e-35,1.0,0.0,0.01697910627526781,1.7479733559601694e-32,0.4941666666666666,3.3474030863271587e-35
5400,0.0,8.401062818457161e-12,results\2018-01-26T19-08-21.txt,0.02881454823075274,2.4613515246252782e-36,1.0,3.1415926535897927,3.752795677140087,2.9644901612364554e-33,0.03,1.2306757507870327e-36
5600,0.0,1.1201417091276217e-11,results\2018-01-26T21-42-21.txt,0.043201710725348334,6.350680641127157e-35,-1.0,0.0,3.5518273022187103,3.4026585305012964e-32,0.5170833333333333,3.175340351800587e-35
5800,0.0,1.1201417091276217e-11,results\2018-01-26T21-42-21.txt,9.717393426376483e-20,9.574591050567297e-41,-1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
6000,0.0,1.1201417091276217e-11,results\2018-01-26T21-42-21.txt,0.043201710725348334,6.350680641127157e-35,1.0,0.0,3.5518273022187103,3.4026585305012964e-32,0.5170833333333333,3.175340351800587e-35
6200,0.0,1.1201417091276217e-11,results\2018-01-26T21-42-21.txt,9.717393426376483e-20,9.574591050567297e-41,1.0,3.1415926535897927,0.9999999990638684,2.804003631593541e-20,-6.862641913500253e-20,4.787295509382425e-41
6400,0.0,1.4001771364095269e-11,results\2018-01-27T00-26-58.txt,0.09061342174551223,5.318303991021519e-35,-1.0,0.0,0.336206849153721,6.477211643169002e-33,0.4108333333333333,2.659152013044777e-35
