,E0,Ep,dL,phi,th_LRL,Error,Dlow,Dhigh,enfinal
3939,0.,5.6007085456381085e-12,1.,4.366813788489812,3.141592653589793,ndsz,0.,5.243171825484708e8,-0.000010768162939989168
4002,0.,7.000885682047636e-12,-1.,0.06283185307179587,0.,ndsz,0.,8.027095113430117e8,-0.000025318286148490188
4013,0.,7.000885682047636e-12,-1.,0.4084070449666731,0.,ndsz,0.,6.268844815090907e8,-5.6966160002502875e-6
4014,0.,7.000885682047636e-12,-1.,0.4398229715025711,0.,mxst,0.,1.8486139093951333e9,-0.000045639595651547144
4019,0.,7.000885682047636e-12,-1.,0.5969026041820606,0.,ndsz,0.,4.124425888892297e8,-5.80513371772895e-6
4021,0.,7.000885682047636e-12,-1.,0.6597344572538565,0.,ndsz,0.,6.609412706424263e8,-5.745979891003117e-6
4030,0.,7.000885682047636e-12,-1.,0.9424777960769379,0.,ndsz,0.,5.483890050639443e8,-0.000010399193996590839
4032,0.,7.000885682047636e-12,-1.,1.0053096491487339,0.,ndsz,0.,4.177096339332666e8,-0.000035282570792105616
4034,0.,7.000885682047636e-12,-1.,1.0681415022205298,0.,mxst,0.,9.797176561248524e8,-0.00006176431616652861
4035,0.,7.000885682047636e-12,-1.,1.0995574287564276,0.,ndsz,0.,5.918202798017715e8,-0.000014857263657575004
4036,0.,7.000885682047636e-12,-1.,1.1309733552923256,0.,mxst,0.,1.5120674818827302e9,-0.00004034891886650193
4040,0.,7.000885682047636e-12,-1.,1.2566370614359172,0.,mxst,0.,1.338250929775447e9,-0.0000611035946280758
4054,0.,7.000885682047636e-12,-1.,1.6964600329384885,0.,ndsz,0.,5.0945541151971847e8,-4.1939110033695215e-6
4064,0.,7.000885682047636e-12,-1.,2.0106192982974678,0.,ndsz,0.,3.5012106445971316e8,-6.4871601352933794e-6
4081,0.,7.000885682047636e-12,-1.,2.5446900494077327,0.,NOERR,0.,2.8938961335592947e9,-7.524999747436765e-6
4083,0.,7.000885682047636e-12,-1.,2.607521902479528,0.,ndsz,0.,8.268274667312505e8,6.287621933504482e-8
4161,0.,7.000885682047636e-12,-1.,5.057964172279568,0.,NOERR,0.,2.8938961335592947e9,2.4739855737546005e-6
4175,0.,7.000885682047636e-12,-1.,5.497787143782138,0.,ndsz,0.,2.743668649656112e8,4.73681308221785e-6
4176,0.,7.000885682047636e-12,-1.,5.529203070318036,0.,ndsz,0.,3.084223419080365e8,-7.271158551702683e-6
4177,0.,7.000885682047636e-12,-1.,5.5606189968539335,0.,ndsz,0.,2.5218743102693427e8,-8.256954003166284e-6
4185,0.,7.000885682047636e-12,-1.,5.811946409141117,0.,ndsz,0.,5.289581750287579e8,5.908778035745854e-7
4194,0.,7.000885682047636e-12,-1.,6.094689747964199,0.,ndsz,0.,4.505801664721267e8,-2.690655165338285e-6
4309,0.,7.000885682047636e-12,-1.,3.4243359924128747,3.141592653589793,NOERR,0.,2.8938961335592947e9,-2.674750903800793e-7
4316,0.,7.000885682047636e-12,-1.,3.64424747816416,3.141592653589793,ndsz,0.,6.592300896227283e8,-9.950992378549017e-6
4318,0.,7.000885682047636e-12,-1.,3.707079331235956,3.141592653589793,ndsz,0.,5.964439772359822e8,-0.000010080645026278034
4319,0.,7.000885682047636e-12,-1.,3.7384952577718535,3.141592653589793,mxst,0.,1.9924513108229191e9,-0.0000339559588651887
4321,0.,7.000885682047636e-12,-1.,3.8013271108436495,3.141592653589793,NOERR,0.,2.8938961335592947e9,1.9365877556330826e-7
4327,0.,7.000885682047636e-12,-1.,3.9898226700590373,3.141592653589793,ndsz,0.,5.679427814601465e8,-2.18323805804832e-6
4328,0.,7.000885682047636e-12,-1.,4.0212385965949355,3.141592653589793,ndsz,0.,8.113717280756825e8,-7.66660846807099e-6
4334,0.,7.000885682047636e-12,-1.,4.209734155810323,3.141592653589793,ndsz,0.,4.4467224250816554e8,-4.41393959160763e-6
4402,0.,7.000885682047636e-12,1.,0.06283185307179587,0.,ndsz,0.,8.027095113430117e8,-0.000025318286148490188
4413,0.,7.000885682047636e-12,1.,0.4084070449666731,0.,ndsz,0.,6.268844815090907e8,-5.6966160002502875e-6
4414,0.,7.000885682047636e-12,1.,0.4398229715025711,0.,mxst,0.,1.8486139093951333e9,-0.000045639595651547144
4419,0.,7.000885682047636e-12,1.,0.5969026041820606,0.,ndsz,0.,4.124425888892297e8,-5.80513371772895e-6
4421,0.,7.000885682047636e-12,1.,0.6597344572538565,0.,ndsz,0.,6.609412706424263e8,-5.745979891003117e-6
4430,0.,7.000885682047636e-12,1.,0.9424777960769379,0.,ndsz,0.,5.483890050639443e8,-0.000010399193996590839
4432,0.,7.000885682047636e-12,1.,1.0053096491487339,0.,ndsz,0.,4.177096339332666e8,-0.000035282570792105616
