# Filename	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Timebinding\2018-02-06T16-31-11.txt
# Source	C:\Users\labuser\Documents\2D-Comp-Model\computation\Turning Time\turning.nb
# Note	1D calculation of binding time vs. field and orbit energy.
# Date	2018-02-06T16:31:11
# Dir	-1
# field	1.9446904672354544e-12
# zi	-6.
W	field	zb	t	argt
0.000028724785214403984	1.9446904672354544e-12	-1.4805609256797004e7	3.884240592426016e9	0.
0.00002690098932777516	1.9446904672354544e-12	-1.3870118263462652e7	3.7574410829794345e9	0.
0.000023405380545069913	1.9446904672354544e-12	-1.2078104658880875e7	3.5014107959378033e9	0.
0.000025229176431698734	1.9446904672354544e-12	-1.3012879837875152e7	3.63727338319668e9	0.
0.000028876768204956383	1.9446904672354544e-12	-1.4883580100968247e7	3.894618536487295e9	0.
0.00002705297231832756	1.9446904672354544e-12	-1.3948063876305532e7	3.768172804198178e9	0.
0.000023557363535622312	1.9446904672354544e-12	-1.2155984687605366e7	3.5129364096910334e9	0.
0.000025381159422251137	1.9446904672354544e-12	-1.3090797425942067e7	3.648363618307028e9	0.
0.000029028751195508785	1.9446904672354544e-12	-1.4961552837209333e7	3.9049685591178794e9	0.
0.00002720495530887996	1.9446904672354544e-12	-1.402601178583081e7	3.7788736690381494e9	0.
0.000023709346526174715	1.9446904672354544e-12	-1.2233868177233746e7	3.5244237815157285e9	0.
0.00002553314241280354	1.9446904672354544e-12	-1.3168717789128551e7	3.659419707152345e9	0.
0.000029180734186061188	1.9446904672354544e-12	-1.5039527436226388e7	3.915290861084029e9	0.
0.000027356938299432364	1.9446904672354544e-12	-1.4103961954157498e7	3.7895439467120314e9	0.
0.000023861329516727117	1.9446904672354544e-12	-1.2311755062533947e7	3.535873290920041e9	0.
0.000025685125403355942	1.9446904672354544e-12	-1.3246640878751317e7	3.67044202693816e9	0.
0.00002933271717661359	1.9446904672354544e-12	-1.5117503869325804e7	3.9255857145820823e9	0.
0.000027508921289984766	1.9446904672354544e-12	-1.4181914344230987e7	3.800183844069923e9	0.
0.00002401331250727952	1.9446904672354544e-12	-1.238964527989752e7	3.5472852312603545e9	0.
0.000025837108393908344	1.9446904672354544e-12	-1.3324566647255871e7	3.6814309063515663e9	0.
0.000029484700167165993	1.9446904672354544e-12	-1.5195482108398959e7	3.9358533402346025e9	0.
0.00002766090428053717	1.9446904672354544e-12	-1.4259868919800702e7	3.81079367745114e9	0.
0.000024165295497831922	1.9446904672354544e-12	-1.2467538767289605e7	3.558660028948844e9	0.
0.000025989091384460747	1.9446904672354544e-12	-1.3402495048184093e7	3.6923866253707705e9	0.
0.000029636683157718393	1.9446904672354544e-12	-1.5273462125907427e7	3.94609390391793e9	0.
0.00002781288727108957	1.9446904672354544e-12	-1.433782564539846e7	3.821373610144774e9	0.
0.000024317278488384322	1.9446904672354544e-12	-1.2545435464200724e7	3.569998149661688e9	0.
0.000026141074375013146	1.9446904672354544e-12	-1.3480426036142897e7	3.7033094844554186e9	0.
0.000029788666148270795	1.9446904672354544e-12	-1.5351443894868625e7	3.956307642527312e9	0.
0.00002796487026164197	1.9446904672354544e-12	-1.4415784486317525e7	3.8319239341586685e9	0.
0.000024469261478936724	1.9446904672354544e-12	-1.2623335311600331e7	3.5812996961446295e9	0.
0.00002629305736556555	1.9446904672354544e-12	-1.355835956677399e7	3.71419980358156e9	0.
0.000029940649138823198	1.9446904672354544e-12	-1.5429427388841888e7	3.9664947418476477e9	0.
0.000028116853252194373	1.9446904672354544e-12	-1.4493745408592349e7	3.8424450225459847e9	0.
0.000024621244469489127	1.9446904672354544e-12	-1.2701238251892067e7	3.592565254936408e9	0.
0.00002644504035611795	1.9446904672354544e-12	-1.363629559672462e7	3.7250578241069365e9	0.
0.0000300926321293756	1.9446904672354544e-12	-1.5507412581914961e7	3.976655462382364e9	0.
0.000028268836242746776	1.9446904672354544e-12	-1.4571708378978916e7	3.852936998065161e9	0.
0.00002477322746004153	1.9446904672354544e-12	-1.277914422887058e7	3.603795022127076e9	0.
0.000026597023346670354	1.9446904672354544e-12	-1.3714234083619326e7	3.7358838293767242e9	0.
0.000030244615119928003	1.9446904672354544e-12	-1.5585399448690893e7	3.98678998244657e9	0.
0.00002842081923329918	1.9446904672354544e-12	-1.4649673364935743e7	3.863400026445013e9	0.
0.000024925210450593932	1.9446904672354544e-12	-1.2857053187679939e7	3.6149894014697366e9	0.
0.000026749006337222757	1.9446904672354544e-12	-1.3792174986032635e7	3.7466781822231035e9	0.
0.000030396598110480406	1.9446904672354544e-12	-1.5663387964275315e7	3.9968985057056932e9	0.
0.00002857280222385158	1.9446904672354544e-12	-1.4727640334605467e7	3.8738344535797625e9	0.
